EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1618271736.128521,1630233.500,28964,2,AK,1,100,28960
1618271736.165154,1630269.000,28964,2,AK,1,100,RD
1618271738.761435,1632785.000,29867,2,AK,1,100,28960
1618271741.357717,1635301.000,29867,2,AK,1,100,RD
1618271741.364424,1635307.500,29869,2,AK,1,100,29865
1618271741.371131,1635314.000,29869,2,AK,1,100,RD
1618271744.011785,1637873.000,30787,2,AK,1,100,29865
1618271746.652438,1640432.000,30787,2,AK,1,100,RD
1618271746.658629,1640438.000,30789,2,AK,1,100,30785
1618271746.664821,1640444.000,30789,2,AK,1,100,RD
1618271749.294123,1642992.000,31691,2,AK,1,100,30785
1618271751.923425,1645540.000,31691,2,AK,1,100,RD
1618271751.933228,1645549.500,31693,2,AK,1,100,31689
1618271751.943031,1645559.000,31693,2,AK,1,100,RD
1618271754.587296,1648121.500,32611,2,AK,1,100,31689
1618271757.231561,1650684.000,32611,2,AK,1,100,RD
1618271757.241364,1650693.500,32613,2,AK,1,100,32609
1618271757.251167,1650703.000,32613,2,AK,1,100,RD
1618271759.906783,1653276.500,33532,2,AK,1,100,32609
1618271762.562399,1655850.000,33532,2,AK,1,100,RD
1618271762.570138,1655857.500,33534,2,AK,1,100,33530
1618271762.577878,1655865.000,33534,2,AK,1,100,RD
1618271765.215435,1658421.000,34437,2,AK,1,100,33530
1618271767.852993,1660977.000,34437,2,AK,1,100,RD
1618271767.881886,1661005.000,34439,2,AK,1,100,34435
1618271767.910779,1661033.000,34439,2,AK,1,100,RD
1618271770.519444,1663561.000,35341,2,AK,1,100,34435
1618271773.128108,1666089.000,35341,2,AK,1,100,RD
1618271773.133783,1666094.500,35343,2,AK,1,100,35339
1618271773.139458,1666100.000,35343,2,AK,1,100,RD
1618271775.789915,1668668.500,36243,2,AK,1,100,35339
1618271778.440371,1671237.000,36243,2,AK,1,100,RD
1618271778.446563,1671243.000,36245,2,AK,1,100,36241
1618271778.452754,1671249.000,36245,2,AK,1,100,RD
1618271781.108370,1673822.500,37147,2,AK,1,100,36241
1618271783.763986,1676396.000,37147,2,AK,1,100,RD
1618271783.770693,1676402.500,37149,2,AK,1,100,37145
1618271783.777400,1676409.000,37149,2,AK,1,100,RD
1618271786.411862,1678962.000,38050,2,AK,1,100,37145
1618271789.046324,1681515.000,38050,2,AK,1,100,RD
1618271789.073154,1681541.000,38052,2,AK,1,100,38048
1618271789.099983,1681567.000,38052,2,AK,1,100,RD
1618271791.709679,1684096.000,38955,2,AK,1,100,38048
1618271794.319375,1686625.000,38955,2,AK,1,100,RD
1618271794.326082,1686631.500,38957,2,AK,1,100,38953
1618271794.332790,1686638.000,38957,2,AK,1,100,RD
1618271796.969831,1689193.500,39860,2,AK,1,100,38953
1618271799.606873,1691749.000,39860,2,AK,1,100,RD
1618271799.617192,1691759.000,39862,2,AK,1,100,39858
1618271799.627511,1691769.000,39862,2,AK,1,100,RD
1618271802.265584,1694325.500,40762,2,AK,1,100,39858
1618271804.903658,1696882.000,40762,2,AK,1,100,RD
1618271804.910365,1696888.500,40764,2,AK,1,100,40760
1618271804.917073,1696895.000,40764,2,AK,1,100,RD
1618271807.556178,1699452.500,41665,2,AK,1,100,40760
1618271810.195283,1702010.000,41665,2,AK,1,100,RD
1618271810.200959,1702015.500,41667,2,AK,1,100,41663
1618271810.206635,1702021.000,41667,2,AK,1,100,RD
