EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.495
1618271614.128590,1512006.000,7998,16,GZ,1,100,-0.671
1618271614.128590,1512006.000,7998,16,GZ,1,100,0.824
1618271614.128590,1512006.000,7998,16,GZ,1,100,1.556
1618271614.128590,1512006.000,7998,16,GZ,1,100,-0.580
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.099
1618271614.128590,1512006.000,7998,16,GZ,1,100,-2.075
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.556
1618271614.128590,1512006.000,7998,16,GZ,1,100,-0.488
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.099
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.282
1618271614.128590,1512006.000,7998,16,GZ,1,100,0.793
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.282
1618271614.128590,1512006.000,7998,16,GZ,1,100,-1.587
1618271614.128590,1512006.000,7998,16,GZ,1,100,1.617
1618271614.128590,1512006.000,7998,16,GZ,1,100,4.272
1618271614.157827,1512034.333,8021,6,GZ,1,100,1.831
1618271614.187064,1512062.667,8021,6,GZ,1,100,1.862
1618271614.216302,1512091.000,8021,6,GZ,1,100,2.289
1618271614.245539,1512119.333,8021,6,GZ,1,100,0.336
1618271614.274777,1512147.667,8021,6,GZ,1,100,0.336
1618271614.304014,1512176.000,8021,6,GZ,1,100,1.434
1618271614.348042,1512218.667,8040,3,GZ,1,100,0.763
1618271614.392070,1512261.333,8040,3,GZ,1,100,1.770
1618271614.436098,1512304.000,8040,3,GZ,1,100,0.488
1618271614.477890,1512344.500,8057,2,GZ,1,100,0.031
1618271614.519683,1512385.000,8057,2,GZ,1,100,0.427
1618271614.558208,1512422.333,8074,3,GZ,1,100,0.244
1618271614.596732,1512459.667,8074,3,GZ,1,100,-0.366
1618271614.635257,1512497.000,8074,3,GZ,1,100,0.763
1618271614.674469,1512535.000,8092,3,GZ,1,100,0.458
1618271614.713682,1512573.000,8092,3,GZ,1,100,-0.671
1618271614.752894,1512611.000,8092,3,GZ,1,100,-1.007
1618271614.791419,1512648.333,8112,3,GZ,1,100,0.824
1618271614.829943,1512685.667,8112,3,GZ,1,100,-0.305
1618271614.868468,1512723.000,8112,3,GZ,1,100,0.977
1618271614.910776,1512764.000,8130,2,GZ,1,100,0.061
1618271614.953084,1512805.000,8130,2,GZ,1,100,0.000
1618271614.994877,1512845.500,8148,2,GZ,1,100,-0.122
1618271615.036669,1512886.000,8148,2,GZ,1,100,0.732
1618271615.075193,1512923.333,8164,3,GZ,1,100,0.336
1618271615.113718,1512960.667,8164,3,GZ,1,100,-1.129
1618271615.152243,1512998.000,8164,3,GZ,1,100,0.000
1618271615.197303,1513041.667,8183,3,GZ,1,100,-1.099
1618271615.242362,1513085.333,8183,3,GZ,1,100,-0.885
1618271615.287423,1513129.000,8183,3,GZ,1,100,-0.977
1618271615.329215,1513169.500,8201,2,GZ,1,100,-0.061
1618271615.371007,1513210.000,8201,2,GZ,1,100,-0.336
1618271615.409876,1513247.667,8219,3,GZ,1,100,-0.397
1618271615.448744,1513285.333,8219,3,GZ,1,100,-1.129
1618271615.487613,1513323.000,8219,3,GZ,1,100,-1.495
1618271615.526481,1513360.667,8236,3,GZ,1,100,-0.549
1618271615.565350,1513398.333,8236,3,GZ,1,100,-0.305
1618271615.604218,1513436.000,8236,3,GZ,1,100,-0.427
1618271615.644979,1513475.500,8254,2,GZ,1,100,0.366
1618271615.685739,1513515.000,8254,2,GZ,1,100,0.458
1618271615.724264,1513552.333,8273,3,GZ,1,100,0.244
1618271615.762788,1513589.667,8273,3,GZ,1,100,-0.244
1618271615.801313,1513627.000,8273,3,GZ,1,100,-0.641
1618271615.840525,1513665.000,8292,3,GZ,1,100,0.824
1618271615.879738,1513703.000,8292,3,GZ,1,100,0.305
1618271615.918951,1513741.000,8292,3,GZ,1,100,0.519
1618271615.960227,1513781.000,8309,2,GZ,1,100,-0.153
1618271616.001503,1513821.000,8309,2,GZ,1,100,0.641
1618271616.042779,1513861.000,8326,2,GZ,1,100,0.732
1618271616.084056,1513901.000,8326,2,GZ,1,100,-0.488
1618271616.122924,1513938.667,8344,3,GZ,1,100,-0.366
1618271616.161793,1513976.333,8344,3,GZ,1,100,0.000
1618271616.200661,1514014.000,8344,3,GZ,1,100,-1.190
1618271616.245034,1514057.000,8363,3,GZ,1,100,-0.244
1618271616.289406,1514100.000,8363,3,GZ,1,100,0.061
1618271616.333778,1514143.000,8363,3,GZ,1,100,-0.458
1618271616.375570,1514183.500,8381,2,GZ,1,100,0.092
1618271616.417362,1514224.000,8381,2,GZ,1,100,0.397
1618271616.456231,1514261.667,8399,3,GZ,1,100,-0.275
1618271616.495099,1514299.333,8399,3,GZ,1,100,-0.671
1618271616.533968,1514337.000,8399,3,GZ,1,100,0.061
1618271616.575244,1514377.000,8415,2,GZ,1,100,-0.519
1618271616.616520,1514417.000,8415,2,GZ,1,100,-1.068
1618271616.655045,1514454.333,8434,3,GZ,1,100,-1.160
1618271616.693570,1514491.667,8434,3,GZ,1,100,-0.488
1618271616.732094,1514529.000,8434,3,GZ,1,100,-0.061
1618271616.770963,1514566.667,8453,3,GZ,1,100,-1.099
1618271616.809831,1514604.333,8453,3,GZ,1,100,-0.763
1618271616.848700,1514642.000,8453,3,GZ,1,100,1.068
1618271616.890492,1514682.500,8471,2,GZ,1,100,1.282
1618271616.932284,1514723.000,8471,2,GZ,1,100,-0.488
1618271616.971153,1514760.667,8488,3,GZ,1,100,-0.366
1618271617.010021,1514798.333,8488,3,GZ,1,100,-0.244
1618271617.048890,1514836.000,8488,3,GZ,1,100,-0.641
1618271617.090166,1514876.000,8506,2,GZ,1,100,-0.031
1618271617.131443,1514916.000,8506,2,GZ,1,100,-0.641
1618271617.176159,1514959.333,8524,3,GZ,1,100,-0.153
1618271617.220875,1515002.667,8524,3,GZ,1,100,-1.770
1618271617.265591,1515046.000,8524,3,GZ,1,100,-0.458
1618271617.304803,1515084.000,8543,3,GZ,1,100,-0.854
1618271617.344016,1515122.000,8543,3,GZ,1,100,-0.214
1618271617.383228,1515160.000,8543,3,GZ,1,100,0.031
1618271617.425536,1515201.000,8560,2,GZ,1,100,-0.061
1618271617.467845,1515242.000,8560,2,GZ,1,100,-1.282
1618271617.506713,1515279.667,8578,3,GZ,1,100,-1.648
1618271617.545582,1515317.333,8578,3,GZ,1,100,-0.519
1618271617.584450,1515355.000,8578,3,GZ,1,100,-0.854
1618271617.622975,1515392.333,8595,3,GZ,1,100,0.275
1618271617.661500,1515429.667,8595,3,GZ,1,100,-0.275
1618271617.700024,1515467.000,8595,3,GZ,1,100,-0.580
1618271617.741816,1515507.500,8615,2,GZ,1,100,-0.610
1618271617.783609,1515548.000,8615,2,GZ,1,100,-0.641
1618271617.821789,1515585.000,8633,3,GZ,1,100,0.061
1618271617.859970,1515622.000,8633,3,GZ,1,100,-0.427
1618271617.898150,1515659.000,8633,3,GZ,1,100,-0.793
1618271617.939943,1515699.500,8651,2,GZ,1,100,-0.732
1618271617.981735,1515740.000,8651,2,GZ,1,100,-1.282
1618271618.020604,1515777.667,8667,3,GZ,1,100,0.122
1618271618.059472,1515815.333,8667,3,GZ,1,100,0.763
1618271618.098341,1515853.000,8667,3,GZ,1,100,-0.153
1618271618.139617,1515893.000,8686,2,GZ,1,100,0.031
1618271618.180893,1515933.000,8686,2,GZ,1,100,0.793
1618271618.224577,1515975.333,8704,3,GZ,1,100,-0.427
1618271618.268261,1516017.667,8704,3,GZ,1,100,1.282
1618271618.311946,1516060.000,8704,3,GZ,1,100,0.702
1618271618.350814,1516097.667,8723,3,GZ,1,100,-0.519
1618271618.389683,1516135.333,8723,3,GZ,1,100,-0.946
1618271618.428551,1516173.000,8723,3,GZ,1,100,0.305
1618271618.470860,1516214.000,8740,2,GZ,1,100,0.763
1618271618.513168,1516255.000,8740,2,GZ,1,100,-1.526
1618271618.552036,1516292.667,8757,3,GZ,1,100,-1.678
1618271618.590905,1516330.333,8757,3,GZ,1,100,-1.526
1618271618.629773,1516368.000,8757,3,GZ,1,100,-0.366
1618271618.668642,1516405.667,8775,3,GZ,1,100,0.580
1618271618.707510,1516443.333,8775,3,GZ,1,100,-2.228
1618271618.746379,1516481.000,8775,3,GZ,1,100,-2.472
1618271618.788171,1516521.500,8795,2,GZ,1,100,-0.336
1618271618.829964,1516562.000,8795,2,GZ,1,100,-1.160
1618271618.868832,1516599.667,8813,3,GZ,1,100,-0.427
1618271618.907701,1516637.333,8813,3,GZ,1,100,-0.092
1618271618.946569,1516675.000,8813,3,GZ,1,100,1.587
1618271618.987846,1516715.000,8831,2,GZ,1,100,4.791
1618271619.029122,1516755.000,8831,2,GZ,1,100,4.211
1618271619.073494,1516798.000,8847,3,GZ,1,100,0.793
1618271619.117866,1516841.000,8847,3,GZ,1,100,-0.214
1618271619.162238,1516884.000,8847,3,GZ,1,100,-0.580
1618271619.200419,1516921.000,8866,3,GZ,1,100,-0.763
1618271619.238599,1516958.000,8866,3,GZ,1,100,0.336
1618271619.276780,1516995.000,8866,3,GZ,1,100,1.129
1618271619.318572,1517035.500,8884,2,GZ,1,100,4.272
1618271619.360364,1517076.000,8884,2,GZ,1,100,2.533
1618271619.399577,1517114.000,8902,3,GZ,1,100,-0.122
1618271619.438789,1517152.000,8902,3,GZ,1,100,0.214
1618271619.478002,1517190.000,8902,3,GZ,1,100,-1.740
1618271619.519536,1517230.250,8925,4,GZ,1,100,0.183
1618271619.561071,1517270.500,8925,4,GZ,1,100,-0.183
1618271619.602605,1517310.750,8925,4,GZ,1,100,-1.648
1618271619.644139,1517351.000,8925,4,GZ,1,100,-0.580
1618271619.686447,1517392.000,8944,2,GZ,1,100,-0.580
1618271619.728756,1517433.000,8944,2,GZ,1,100,0.488
1618271619.767280,1517470.333,8961,3,GZ,1,100,-1.465
1618271619.805805,1517507.667,8961,3,GZ,1,100,0.214
1618271619.844329,1517545.000,8961,3,GZ,1,100,1.404
1618271619.882854,1517582.333,8979,3,GZ,1,100,1.129
1618271619.921379,1517619.667,8979,3,GZ,1,100,-1.556
1618271619.959903,1517657.000,8979,3,GZ,1,100,-3.784
1618271620.001695,1517697.500,8997,2,GZ,1,100,-3.754
1618271620.043488,1517738.000,8997,2,GZ,1,100,-2.502
1618271620.082012,1517775.333,9016,3,GZ,1,100,1.068
1618271620.120537,1517812.667,9016,3,GZ,1,100,1.678
1618271620.159061,1517850.000,9016,3,GZ,1,100,0.641
1618271620.200854,1517890.500,9033,2,GZ,1,100,-1.556
1618271620.242646,1517931.000,9033,2,GZ,1,100,-4.242
1618271620.281514,1517968.667,9050,3,GZ,1,100,-2.258
1618271620.320383,1518006.333,9050,3,GZ,1,100,1.801
1618271620.359251,1518044.000,9050,3,GZ,1,100,5.219
1618271620.400528,1518084.000,9068,2,GZ,1,100,4.730
1618271620.441804,1518124.000,9068,2,GZ,1,100,2.747
1618271620.479985,1518161.000,9087,3,GZ,1,100,1.373
1618271620.518166,1518198.000,9087,3,GZ,1,100,1.190
1618271620.556346,1518235.000,9087,3,GZ,1,100,0.305
1618271620.601062,1518278.333,9105,3,GZ,1,100,-0.488
1618271620.645778,1518321.667,9105,3,GZ,1,100,-0.885
1618271620.690494,1518365.000,9105,3,GZ,1,100,-3.876
1618271620.732802,1518406.000,9124,2,GZ,1,100,-4.761
1618271620.775111,1518447.000,9124,2,GZ,1,100,-3.387
1618271620.813979,1518484.667,9140,3,GZ,1,100,0.610
1618271620.852848,1518522.333,9140,3,GZ,1,100,2.014
1618271620.891716,1518560.000,9140,3,GZ,1,100,1.709
1618271620.930585,1518597.667,9159,3,GZ,1,100,1.404
1618271620.969453,1518635.333,9159,3,GZ,1,100,1.495
1618271621.008322,1518673.000,9159,3,GZ,1,100,1.587
1618271621.050114,1518713.500,9177,2,GZ,1,100,0.427
1618271621.091907,1518754.000,9177,2,GZ,1,100,-0.885
1618271621.130775,1518791.667,9195,3,GZ,1,100,-1.678
1618271621.169644,1518829.333,9195,3,GZ,1,100,-1.465
1618271621.208512,1518867.000,9195,3,GZ,1,100,-1.434
1618271621.249789,1518907.000,9212,2,GZ,1,100,0.122
1618271621.291065,1518947.000,9212,2,GZ,1,100,1.038
1618271621.330277,1518985.000,9230,3,GZ,1,100,1.495
1618271621.369490,1519023.000,9230,3,GZ,1,100,-1.434
1618271621.408702,1519061.000,9230,3,GZ,1,100,-2.289
1618271621.449979,1519101.000,9248,2,GZ,1,100,-2.014
1618271621.491255,1519141.000,9248,2,GZ,1,100,-2.136
1618271621.535971,1519184.333,9267,3,GZ,1,100,-0.854
1618271621.580687,1519227.667,9267,3,GZ,1,100,2.472
1618271621.625403,1519271.000,9267,3,GZ,1,100,-0.702
1618271621.658940,1519303.500,9284,2,GZ,1,100,-0.580
1618271621.692477,1519336.000,9284,2,GZ,1,100,-1.190
1618271621.736505,1519378.667,9302,3,GZ,1,100,-1.678
1618271621.780533,1519421.333,9302,3,GZ,1,100,-1.251
1618271621.824561,1519464.000,9302,3,GZ,1,100,0.214
1618271621.863774,1519502.000,9320,3,GZ,1,100,-0.366
1618271621.902986,1519540.000,9320,3,GZ,1,100,0.275
1618271621.942199,1519578.000,9320,3,GZ,1,100,-0.275
1618271621.983991,1519618.500,9339,2,GZ,1,100,-0.916
1618271622.025784,1519659.000,9339,2,GZ,1,100,-1.190
1618271622.064308,1519696.333,9357,3,GZ,1,100,-0.366
1618271622.102833,1519733.667,9357,3,GZ,1,100,0.031
1618271622.141357,1519771.000,9357,3,GZ,1,100,-0.427
1618271622.183149,1519811.500,9373,2,GZ,1,100,-0.122
1618271622.224942,1519852.000,9373,2,GZ,1,100,-2.045
1618271622.263466,1519889.333,9391,3,GZ,1,100,-1.923
1618271622.301991,1519926.667,9391,3,GZ,1,100,-0.244
1618271622.340515,1519964.000,9391,3,GZ,1,100,1.038
1618271622.379040,1520001.333,9410,3,GZ,1,100,0.122
1618271622.417565,1520038.667,9410,3,GZ,1,100,-1.648
1618271622.456089,1520076.000,9410,3,GZ,1,100,-1.587
1618271622.498397,1520117.000,9428,2,GZ,1,100,-2.289
1618271622.540706,1520158.000,9428,2,GZ,1,100,-1.526
1618271622.582498,1520198.500,9446,2,GZ,1,100,0.305
1618271622.624290,1520239.000,9446,2,GZ,1,100,-0.122
1618271622.662815,1520276.333,9462,3,GZ,1,100,-2.502
1618271622.701339,1520313.667,9462,3,GZ,1,100,-0.061
1618271622.739864,1520351.000,9462,3,GZ,1,100,-1.160
1618271622.784580,1520394.333,9482,3,GZ,1,100,-0.519
1618271622.829296,1520437.667,9482,3,GZ,1,100,0.092
1618271622.874012,1520481.000,9482,3,GZ,1,100,0.885
1618271622.913224,1520519.000,9500,3,GZ,1,100,0.031
1618271622.952437,1520557.000,9500,3,GZ,1,100,-1.038
1618271622.991650,1520595.000,9500,3,GZ,1,100,0.183
1618271623.033442,1520635.500,9519,2,GZ,1,100,0.885
1618271623.075234,1520676.000,9519,2,GZ,1,100,0.397
1618271623.114103,1520713.667,9536,3,GZ,1,100,-0.580
1618271623.152971,1520751.333,9536,3,GZ,1,100,1.221
1618271623.191840,1520789.000,9536,3,GZ,1,100,-2.106
1618271623.233632,1520829.500,9553,2,GZ,1,100,-2.319
1618271623.275424,1520870.000,9553,2,GZ,1,100,-1.343
1618271623.313949,1520907.333,9571,3,GZ,1,100,-1.526
1618271623.352473,1520944.667,9571,3,GZ,1,100,-1.801
1618271623.390998,1520982.000,9571,3,GZ,1,100,0.885
1618271623.432790,1521022.500,9590,2,GZ,1,100,1.434
1618271623.474583,1521063.000,9590,2,GZ,1,100,-1.373
1618271623.513107,1521100.333,9607,3,GZ,1,100,-0.336
1618271623.551632,1521137.667,9607,3,GZ,1,100,-0.763
1618271623.590156,1521175.000,9607,3,GZ,1,100,0.458
1618271623.631433,1521215.000,9624,2,GZ,1,100,0.610
