EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1618272223.650991,2102681.000,46866,1,B%,1,100,17
1618272224.650910,2103650.000,47029,1,B%,1,100,18
1618272225.647734,2104616.000,47208,1,B%,1,100,18
1618272226.647653,2105585.000,47369,1,B%,1,100,17
1618272227.647572,2106554.000,47549,1,B%,1,100,18
1618272228.646459,2107522.000,47717,1,B%,1,100,17
1618272229.644314,2108489.000,47878,1,B%,1,100,17
1618272230.641138,2109455.000,48057,1,B%,1,100,17
1618272231.638993,2110422.000,48219,1,B%,1,100,17
1618272232.637880,2111390.000,48399,1,B%,1,100,17
1618272233.635735,2112357.000,48548,1,B%,1,100,17
1618272234.634623,2113325.000,48727,1,B%,1,100,17
1618272235.635574,2114295.000,48907,1,B%,1,100,18
1618272236.632397,2115261.000,49068,1,B%,1,100,18
1618272237.631284,2116229.000,49248,1,B%,1,100,17
1618272238.630171,2117197.000,49428,1,B%,1,100,17
1618272239.628026,2118164.000,49596,1,B%,1,100,17
1618272240.626914,2119132.000,49758,1,B%,1,100,17
1618272241.627865,2120102.000,49936,1,B%,1,100,17
1618272242.626752,2121070.000,50100,1,B%,1,100,17
1618272243.625639,2122038.000,50278,1,B%,1,100,17
1618272244.622463,2123004.000,50429,1,B%,1,100,16
1618272245.618254,2123969.000,50609,1,B%,1,100,16
1618272246.616109,2124936.000,50770,1,B%,1,100,16
1618272247.616028,2125905.000,50950,1,B%,1,100,17
1618272248.613883,2126872.000,51112,1,B%,1,100,18
1618272249.610707,2127838.000,51296,1,B%,1,100,17
1618272250.612690,2128809.000,51458,1,B%,1,100,18
1618272251.610545,2129776.000,51637,1,B%,1,100,17
1618272252.609432,2130744.000,51799,1,B%,1,100,16
1618272253.607287,2131711.000,51979,1,B%,1,100,17
1618272254.606175,2132679.000,52140,1,B%,1,100,17
1618272255.601966,2133644.000,52308,1,B%,1,100,17
1618272256.600853,2134612.000,52487,1,B%,1,100,17
1618272257.599741,2135580.000,52665,1,B%,1,100,18
1618272258.599660,2136549.000,52827,1,B%,1,100,18
1618272259.594419,2137513.000,53006,1,B%,1,100,17
1618272260.593306,2138481.000,53176,1,B%,1,100,17
1618272261.591161,2139448.000,53337,1,B%,1,100,16
1618272262.591081,2140417.000,53517,1,B%,1,100,17
1618272263.587904,2141383.000,53679,1,B%,1,100,18
1618272264.587823,2142352.000,53859,1,B%,1,100,18
1618272265.586710,2143320.000,54024,1,B%,1,100,18
1618272266.585598,2144288.000,54187,1,B%,1,100,17
1618272267.582421,2145254.000,54366,1,B%,1,100,17
1618272268.581308,2146222.000,54527,1,B%,1,100,17
1618272269.577100,2147187.000,54707,1,B%,1,100,17
1618272270.573923,2148153.000,54875,1,B%,1,100,17
1618272271.572810,2149121.000,55036,1,B%,1,100,17
1618272272.572729,2150090.000,55215,1,B%,1,100,17
1618272273.572648,2151059.000,55393,1,B%,1,100,17
1618272274.570503,2152026.000,55557,1,B%,1,100,16
1618272275.567327,2152992.000,55735,1,B%,1,100,17
1618272276.565182,2153959.000,55884,1,B%,1,100,17
1618272277.564069,2154927.000,56064,1,B%,1,100,17
1618272278.559861,2155892.000,56244,1,B%,1,100,17
1618272279.556684,2156858.000,56405,1,B%,1,100,17
1618272280.556603,2157827.000,56585,1,B%,1,100,17
1618272281.555490,2158795.000,56752,1,B%,1,100,17
1618272282.552314,2159761.000,56915,1,B%,1,100,17
1618272283.552233,2160730.000,57093,1,B%,1,100,17
1618272284.551120,2161698.000,57255,1,B%,1,100,17
1618272285.547943,2162664.000,57435,1,B%,1,100,17
1618272286.547863,2163633.000,57586,1,B%,1,100,17
1618272287.547781,2164602.000,57766,1,B%,1,100,17
1618272288.544605,2165568.000,57946,1,B%,1,100,18
1618272289.540396,2166533.000,58107,1,B%,1,100,17
1618272290.538252,2167500.000,58286,1,B%,1,100,17
1618272291.535075,2168466.000,58449,1,B%,1,100,17
1618272292.533962,2169434.000,58614,1,B%,1,100,17
1618272293.530786,2170400.000,58794,1,B%,1,100,17
1618272294.532768,2171371.000,58974,1,B%,1,100,17
1618272295.531656,2172339.000,59136,1,B%,1,100,17
1618272296.531575,2173308.000,59316,1,B%,1,100,17
1618272297.529430,2174275.000,59481,1,B%,1,100,17
1618272298.530381,2175245.000,59643,1,B%,1,100,17
1618272299.525141,2176209.000,59823,1,B%,1,100,17
1618272300.522996,2177176.000,59984,1,B%,1,100,17
1618272301.519819,2178142.000,60164,1,B%,1,100,17
1618272302.519738,2179111.000,60334,1,B%,1,100,16
1618272303.516562,2180077.000,60495,1,B%,1,100,17
1618272304.517513,2181047.000,60675,1,B%,1,100,16
1618272305.514336,2182013.000,60837,1,B%,1,100,16
1618272306.514255,2182982.000,61017,1,B%,1,100,16
1618272307.513142,2183950.000,61178,1,B%,1,100,16
1618272308.510998,2184917.000,61343,1,B%,1,100,16
1618272309.508853,2185884.000,61523,1,B%,1,100,16
1618272310.508772,2186853.000,61684,1,B%,1,100,17
1618272311.507659,2187821.000,61864,1,B%,1,100,17
1618272312.504482,2188787.000,62044,1,B%,1,100,17
1618272313.502338,2189754.000,62193,1,B%,1,100,16
1618272314.500193,2190721.000,62373,1,B%,1,100,16
1618272315.498048,2191688.000,62551,1,B%,1,100,16
1618272316.495903,2192655.000,62714,1,B%,1,100,16
1618272317.497886,2193626.000,62893,1,B%,1,100,17
1618272318.495742,2194593.000,63060,1,B%,1,100,16
1618272319.494629,2195561.000,63222,1,B%,1,100,16
1618272320.493516,2196529.000,63402,1,B%,1,100,16
1618272321.492403,2197497.000,63563,1,B%,1,100,16
1618272322.488195,2198462.000,63743,1,B%,1,100,16
1618272323.485018,2199428.000,63910,1,B%,1,100,17
1618272324.483905,2200396.000,64072,1,B%,1,100,17
1618272325.482792,2201364.000,64250,1,B%,1,100,17
1618272326.481679,2202332.000,64413,1,B%,1,100,16
1618272327.479535,2203299.000,64592,1,B%,1,100,16
1618272328.479454,2204268.000,64753,1,B%,1,100,16
1618272329.475245,2205233.000,64923,1,B%,1,100,16
1618272330.474133,2206201.000,65103,1,B%,1,100,16
1618272331.471988,2207168.000,65264,1,B%,1,100,16
1618272332.472939,2208138.000,65443,1,B%,1,100,16
1618272333.468730,2209103.000,70,1,B%,1,100,16
1618272334.469681,2210073.000,254,1,B%,1,100,16
1618272335.466505,2211039.000,433,1,B%,1,100,16
1618272336.465392,2212007.000,595,1,B%,1,100,16
1618272337.461183,2212972.000,773,1,B%,1,100,16
