RD,TS_received,TS_sent,AK,RoundTrip,
1789096,1789114,2021-04-12_16-58-14-974074,1789132,2021-04-12_16-58-20-096226,1789135,36,
1794220,1794241,2021-04-12_16-58-20-295723,1794280,2021-04-12_16-58-25-419087,1794285,60,
1799357,1799380,2021-04-12_16-58-25-524052,1799453,2021-04-12_16-58-30-745096,1799457,96,
1804470,1804489,2021-04-12_16-58-30-825386,1804512,2021-04-12_16-58-35-966594,1804514,42,
1809589,1809609,2021-04-12_16-58-36-105233,1809671,2021-04-12_16-58-41-293885,1809674,82,
1814724,1814736,2021-04-12_16-58-41-395254,1814754,2021-04-12_16-58-46-531738,1814757,30,
1819871,1819883,2021-04-12_16-58-46-720475,1819902,2021-04-12_16-58-51-843609,1819905,31,
1824979,1825000,2021-04-12_16-58-52-043167,1825044,2021-04-12_16-58-57-160318,1825047,65,
1830128,1830149,2021-04-12_16-58-57-270991,1830208,2021-04-12_16-59-02-489813,1830211,80,
1835264,1835276,2021-04-12_16-59-02-586051,1835296,2021-04-12_16-59-07-726223,1835299,32,
1840378,1840399,2021-04-12_16-59-07-870916,1840432,2021-04-12_16-59-13-031304,1840435,54,
1845489,1845500,2021-04-12_16-59-13-098019,1845518,2021-04-12_16-59-18-274964,1845521,29,
1850643,1850655,2021-04-12_16-59-18-345474,1850673,2021-04-12_16-59-23-595305,1850676,30,
1855799,1855810,2021-04-12_16-59-23-684968,1855828,2021-04-12_16-59-28-913715,1855832,29,
1860907,1860927,2021-04-12_16-59-29-010424,1860971,2021-04-12_16-59-34-231718,1860974,64,
1866015,1866023,2021-04-12_16-59-34-329769,1866047,2021-04-12_16-59-39-456521,1866050,32,
1871157,1871175,2021-04-12_16-59-39-558549,1871199,2021-04-12_16-59-44-774921,1871202,42,
1876327,1876349,2021-04-12_16-59-44-838931,1876367,2021-04-12_16-59-50-106849,1876370,40,
1881479,1881497,2021-04-12_16-59-50-174931,1881515,2021-04-12_16-59-55-424797,1881519,36,
1886587,1886600,2021-04-12_16-59-55-532254,1886618,2021-04-12_17-00-00-679699,1886621,31,
1891723,1891735,2021-04-12_17-00-00-753784,1891754,2021-04-12_17-00-05-981916,1891757,31,
1896831,1896842,2021-04-12_17-00-06-053500,1896861,2021-04-12_17-00-11-254235,1896864,30,
1901966,1901988,2021-04-12_17-00-11-399969,1902065,2021-04-12_17-00-16-626849,1902068,99,
1907085,1907096,2021-04-12_17-00-16-729456,1907126,2021-04-12_17-00-21-843910,1907128,41,
1912192,1912204,2021-04-12_17-00-21-946195,1912222,2021-04-12_17-00-27-103039,1912225,30,
1917343,1917356,2021-04-12_17-00-27-271844,1917374,2021-04-12_17-00-32-422395,1917377,31,
1922451,1922471,2021-04-12_17-00-32-486122,1922499,2021-04-12_17-00-37-719790,1922502,48,
1927559,1927580,2021-04-12_17-00-37-776980,1927649,2021-04-12_17-00-43-034941,1927652,90,
1932688,1932704,2021-04-12_17-00-43-144084,1932723,2021-04-12_17-00-48-265719,1932726,35,
1937796,1937809,2021-04-12_17-00-48-365128,1937826,2021-04-12_17-00-53-525661,1937830,30,
1942936,1942947,2021-04-12_17-00-53-689225,1942966,2021-04-12_17-00-58-833581,1942969,30,
1948103,1948115,2021-04-12_17-00-58-916625,1948133,2021-04-12_17-01-04-164476,1948137,30,
1953251,1953263,2021-04-12_17-01-04-235973,1953281,2021-04-12_17-01-09-473483,1953285,30,
1958359,1958379,2021-04-12_17-01-09-567320,1958421,2021-04-12_17-01-14-785679,1958424,62,
1963467,1963479,2021-04-12_17-01-14-887892,1963496,2021-04-12_17-01-20-014265,1963500,29,
1968613,1968630,2021-04-12_17-01-20-109188,1968648,2021-04-12_17-01-25-332007,1968651,35,
1973721,1973733,2021-04-12_17-01-25-441315,1973755,2021-04-12_17-01-30-596214,1973759,34,
