EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1618271607.832917,1505905.000,7989,2,EL,1,100,0.498117
1618271607.832917,1505905.000,7989,2,EL,1,100,0.497754
1618271609.989950,1507995.333,8011,3,EL,1,100,0.497512
1618271612.146982,1510085.667,8011,3,EL,1,100,0.496183
1618271614.304014,1512176.000,8011,3,EL,1,100,0.496787
1618271614.370056,1512240.000,8030,2,EL,1,100,0.497230
1618271614.436098,1512304.000,8030,2,EL,1,100,0.497673
1618271614.503172,1512369.000,8048,1,EL,1,100,0.496747
1618271614.569214,1512433.000,8066,2,EL,1,100,0.496021
1618271614.635257,1512497.000,8066,2,EL,1,100,0.496465
1618271614.702331,1512562.000,8082,1,EL,1,100,0.496465
1618271614.768889,1512626.500,8102,2,EL,1,100,0.496384
1618271614.835447,1512691.000,8102,2,EL,1,100,0.496706
1618271614.902521,1512756.000,8120,1,EL,1,100,0.496505
1618271614.969595,1512821.000,8139,2,EL,1,100,0.496827
1618271615.036669,1512886.000,8139,2,EL,1,100,0.496948
1618271615.102711,1512950.000,8156,2,EL,1,100,0.497230
1618271615.168753,1513014.000,8156,2,EL,1,100,0.497512
1618271615.235827,1513079.000,8173,1,EL,1,100,0.498117
1618271615.303417,1513144.500,8191,2,EL,1,100,0.497875
1618271615.371007,1513210.000,8191,2,EL,1,100,0.496948
1618271615.437049,1513274.000,8210,1,EL,1,100,0.497633
1618271615.504123,1513339.000,8227,2,EL,1,100,0.497996
1618271615.571197,1513404.000,8227,2,EL,1,100,0.497311
1618271615.636208,1513467.000,8245,1,EL,1,100,0.497794
1618271615.702250,1513531.000,8263,2,EL,1,100,0.498197
1618271615.768292,1513595.000,8263,2,EL,1,100,0.497190
1618271615.835366,1513660.000,8282,2,EL,1,100,0.497835
1618271615.902440,1513725.000,8282,2,EL,1,100,0.498359
1618271615.969514,1513790.000,8300,1,EL,1,100,0.497351
1618271616.035040,1513853.500,8318,2,EL,1,100,0.498117
1618271616.100566,1513917.000,8318,2,EL,1,100,0.498197
