EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1618271614.128590,1512006.000,8001,16,MZ,1,100,-37
1618271614.128590,1512006.000,8001,16,MZ,1,100,-36
1618271614.128590,1512006.000,8001,16,MZ,1,100,-35
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-34
1618271614.128590,1512006.000,8001,16,MZ,1,100,-33
1618271614.128590,1512006.000,8001,16,MZ,1,100,-33
1618271614.128590,1512006.000,8001,16,MZ,1,100,-33
1618271614.128590,1512006.000,8001,16,MZ,1,100,-33
1618271614.128590,1512006.000,8001,16,MZ,1,100,-33
1618271614.128590,1512006.000,8001,16,MZ,1,100,-33
1618271614.160966,1512037.375,8024,8,MZ,1,100,-34
1618271614.193342,1512068.750,8024,8,MZ,1,100,-36
1618271614.225718,1512100.125,8024,8,MZ,1,100,-36
1618271614.258094,1512131.500,8024,8,MZ,1,100,-36
1618271614.290470,1512162.875,8024,8,MZ,1,100,-35
1618271614.322846,1512194.250,8024,8,MZ,1,100,-36
1618271614.355222,1512225.625,8024,8,MZ,1,100,-37
1618271614.387599,1512257.000,8024,8,MZ,1,100,-35
1618271614.436098,1512304.000,8043,1,MZ,1,100,-34
1618271614.474967,1512341.667,8060,3,MZ,1,100,-35
1618271614.513835,1512379.333,8060,3,MZ,1,100,-34
1618271614.552704,1512417.000,8060,3,MZ,1,100,-35
1618271614.593980,1512457.000,8077,2,MZ,1,100,-34
1618271614.635257,1512497.000,8077,2,MZ,1,100,-35
1618271614.674469,1512535.000,8095,3,MZ,1,100,-35
1618271614.713682,1512573.000,8095,3,MZ,1,100,-36
1618271614.752894,1512611.000,8095,3,MZ,1,100,-36
1618271614.791419,1512648.333,8115,3,MZ,1,100,-36
1618271614.829943,1512685.667,8115,3,MZ,1,100,-36
1618271614.868468,1512723.000,8115,3,MZ,1,100,-36
1618271614.910776,1512764.000,8133,2,MZ,1,100,-35
1618271614.953084,1512805.000,8133,2,MZ,1,100,-36
1618271614.994877,1512845.500,8151,2,MZ,1,100,-36
1618271615.036669,1512886.000,8151,2,MZ,1,100,-36
1618271615.075193,1512923.333,8167,3,MZ,1,100,-37
1618271615.113718,1512960.667,8167,3,MZ,1,100,-35
1618271615.152243,1512998.000,8167,3,MZ,1,100,-36
1618271615.197303,1513041.667,8186,3,MZ,1,100,-37
1618271615.242362,1513085.333,8186,3,MZ,1,100,-36
1618271615.287423,1513129.000,8186,3,MZ,1,100,-36
1618271615.325947,1513166.333,8204,3,MZ,1,100,-37
1618271615.364472,1513203.667,8204,3,MZ,1,100,-37
1618271615.402996,1513241.000,8204,3,MZ,1,100,-37
1618271615.445305,1513282.000,8222,2,MZ,1,100,-35
1618271615.487613,1513323.000,8222,2,MZ,1,100,-36
1618271615.526481,1513360.667,8239,3,MZ,1,100,-36
1618271615.565350,1513398.333,8239,3,MZ,1,100,-36
1618271615.604218,1513436.000,8239,3,MZ,1,100,-36
1618271615.644979,1513475.500,8257,2,MZ,1,100,-35
1618271615.685739,1513515.000,8257,2,MZ,1,100,-36
1618271615.724264,1513552.333,8276,3,MZ,1,100,-36
1618271615.762788,1513589.667,8276,3,MZ,1,100,-36
1618271615.801313,1513627.000,8276,3,MZ,1,100,-36
1618271615.840525,1513665.000,8295,3,MZ,1,100,-36
1618271615.879738,1513703.000,8295,3,MZ,1,100,-36
1618271615.918951,1513741.000,8295,3,MZ,1,100,-36
1618271615.960227,1513781.000,8312,2,MZ,1,100,-34
1618271616.001503,1513821.000,8312,2,MZ,1,100,-35
1618271616.042779,1513861.000,8329,2,MZ,1,100,-36
1618271616.084056,1513901.000,8329,2,MZ,1,100,-36
1618271616.122924,1513938.667,8347,3,MZ,1,100,-36
1618271616.161793,1513976.333,8347,3,MZ,1,100,-34
1618271616.200661,1514014.000,8347,3,MZ,1,100,-35
1618271616.245034,1514057.000,8366,3,MZ,1,100,-36
1618271616.289406,1514100.000,8366,3,MZ,1,100,-35
1618271616.333778,1514143.000,8366,3,MZ,1,100,-35
1618271616.375570,1514183.500,8384,2,MZ,1,100,-36
1618271616.417362,1514224.000,8384,2,MZ,1,100,-36
1618271616.456231,1514261.667,8402,3,MZ,1,100,-37
1618271616.495099,1514299.333,8402,3,MZ,1,100,-36
1618271616.533968,1514337.000,8402,3,MZ,1,100,-36
1618271616.572836,1514374.667,8418,3,MZ,1,100,-36
1618271616.611705,1514412.333,8418,3,MZ,1,100,-37
1618271616.650573,1514450.000,8418,3,MZ,1,100,-37
1618271616.691334,1514489.500,8437,2,MZ,1,100,-35
1618271616.732094,1514529.000,8437,2,MZ,1,100,-36
1618271616.770963,1514566.667,8456,3,MZ,1,100,-36
1618271616.809831,1514604.333,8456,3,MZ,1,100,-36
1618271616.848700,1514642.000,8456,3,MZ,1,100,-36
1618271616.890492,1514682.500,8474,2,MZ,1,100,-36
1618271616.932284,1514723.000,8474,2,MZ,1,100,-36
1618271616.971153,1514760.667,8491,3,MZ,1,100,-36
1618271617.010021,1514798.333,8491,3,MZ,1,100,-36
1618271617.048890,1514836.000,8491,3,MZ,1,100,-37
1618271617.090166,1514876.000,8509,2,MZ,1,100,-37
1618271617.131443,1514916.000,8509,2,MZ,1,100,-36
1618271617.176159,1514959.333,8527,3,MZ,1,100,-37
1618271617.220875,1515002.667,8527,3,MZ,1,100,-36
1618271617.265591,1515046.000,8527,3,MZ,1,100,-36
1618271617.304803,1515084.000,8546,3,MZ,1,100,-37
1618271617.344016,1515122.000,8546,3,MZ,1,100,-37
1618271617.383228,1515160.000,8546,3,MZ,1,100,-37
1618271617.425536,1515201.000,8563,2,MZ,1,100,-37
1618271617.467845,1515242.000,8563,2,MZ,1,100,-36
1618271617.506713,1515279.667,8581,3,MZ,1,100,-36
1618271617.545582,1515317.333,8581,3,MZ,1,100,-35
1618271617.584450,1515355.000,8581,3,MZ,1,100,-35
1618271617.622975,1515392.333,8598,3,MZ,1,100,-36
1618271617.661500,1515429.667,8598,3,MZ,1,100,-36
1618271617.700024,1515467.000,8598,3,MZ,1,100,-36
1618271617.741816,1515507.500,8618,2,MZ,1,100,-35
1618271617.783609,1515548.000,8618,2,MZ,1,100,-36
1618271617.821789,1515585.000,8636,3,MZ,1,100,-37
1618271617.859970,1515622.000,8636,3,MZ,1,100,-36
1618271617.898150,1515659.000,8636,3,MZ,1,100,-36
1618271617.939943,1515699.500,8654,2,MZ,1,100,-37
1618271617.981735,1515740.000,8654,2,MZ,1,100,-37
1618271618.020604,1515777.667,8670,3,MZ,1,100,-37
1618271618.059472,1515815.333,8670,3,MZ,1,100,-36
1618271618.098341,1515853.000,8670,3,MZ,1,100,-36
1618271618.142369,1515895.667,8689,3,MZ,1,100,-36
1618271618.186397,1515938.333,8689,3,MZ,1,100,-36
1618271618.230425,1515981.000,8689,3,MZ,1,100,-37
1618271618.271185,1516020.500,8707,2,MZ,1,100,-35
1618271618.311946,1516060.000,8707,2,MZ,1,100,-36
1618271618.350814,1516097.667,8726,3,MZ,1,100,-36
1618271618.389683,1516135.333,8726,3,MZ,1,100,-35
1618271618.428551,1516173.000,8726,3,MZ,1,100,-35
1618271618.470860,1516214.000,8743,2,MZ,1,100,-36
