EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1618271614.128590,1512006.000,7997,16,GY,1,100,2.106
1618271614.128590,1512006.000,7997,16,GY,1,100,0.122
1618271614.128590,1512006.000,7997,16,GY,1,100,1.984
1618271614.128590,1512006.000,7997,16,GY,1,100,3.143
1618271614.128590,1512006.000,7997,16,GY,1,100,6.042
1618271614.128590,1512006.000,7997,16,GY,1,100,2.991
1618271614.128590,1512006.000,7997,16,GY,1,100,4.120
1618271614.128590,1512006.000,7997,16,GY,1,100,4.639
1618271614.128590,1512006.000,7997,16,GY,1,100,0.366
1618271614.128590,1512006.000,7997,16,GY,1,100,-3.601
1618271614.128590,1512006.000,7997,16,GY,1,100,-1.007
1618271614.128590,1512006.000,7997,16,GY,1,100,6.256
1618271614.128590,1512006.000,7997,16,GY,1,100,6.317
1618271614.128590,1512006.000,7997,16,GY,1,100,4.303
1618271614.128590,1512006.000,7997,16,GY,1,100,0.458
1618271614.128590,1512006.000,7997,16,GY,1,100,-4.242
1618271614.157827,1512034.333,8020,6,GY,1,100,1.648
1618271614.187064,1512062.667,8020,6,GY,1,100,1.801
1618271614.216302,1512091.000,8020,6,GY,1,100,0.427
1618271614.245539,1512119.333,8020,6,GY,1,100,1.526
1618271614.274777,1512147.667,8020,6,GY,1,100,2.777
1618271614.304014,1512176.000,8020,6,GY,1,100,-1.038
1618271614.348042,1512218.667,8039,3,GY,1,100,-0.427
1618271614.392070,1512261.333,8039,3,GY,1,100,-1.648
1618271614.436098,1512304.000,8039,3,GY,1,100,0.702
1618271614.477890,1512344.500,8056,2,GY,1,100,1.984
1618271614.519683,1512385.000,8056,2,GY,1,100,-1.251
1618271614.558208,1512422.333,8073,3,GY,1,100,-0.061
1618271614.596732,1512459.667,8073,3,GY,1,100,1.465
1618271614.635257,1512497.000,8073,3,GY,1,100,1.190
1618271614.674469,1512535.000,8091,3,GY,1,100,2.625
