EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1618271617.265591,1515046.000,8525,3,MX,1,100,-62
1618271617.304803,1515084.000,8544,3,MX,1,100,-63
1618271617.344016,1515122.000,8544,3,MX,1,100,-63
1618271617.383228,1515160.000,8544,3,MX,1,100,-62
1618271617.425536,1515201.000,8561,2,MX,1,100,-62
1618271617.467845,1515242.000,8561,2,MX,1,100,-62
1618271617.506713,1515279.667,8579,3,MX,1,100,-62
1618271617.545582,1515317.333,8579,3,MX,1,100,-62
1618271617.584450,1515355.000,8579,3,MX,1,100,-62
1618271617.622975,1515392.333,8596,3,MX,1,100,-62
1618271617.661500,1515429.667,8596,3,MX,1,100,-62
1618271617.700024,1515467.000,8596,3,MX,1,100,-62
1618271617.741816,1515507.500,8616,2,MX,1,100,-61
1618271617.783609,1515548.000,8616,2,MX,1,100,-63
1618271617.821789,1515585.000,8634,3,MX,1,100,-62
1618271617.859970,1515622.000,8634,3,MX,1,100,-63
1618271617.898150,1515659.000,8634,3,MX,1,100,-63
1618271617.939943,1515699.500,8652,2,MX,1,100,-62
1618271617.981735,1515740.000,8652,2,MX,1,100,-62
1618271618.020604,1515777.667,8668,3,MX,1,100,-62
1618271618.059472,1515815.333,8668,3,MX,1,100,-63
1618271618.098341,1515853.000,8668,3,MX,1,100,-63
1618271618.139617,1515893.000,8687,2,MX,1,100,-62
1618271618.180893,1515933.000,8687,2,MX,1,100,-62
1618271618.224577,1515975.333,8705,3,MX,1,100,-62
1618271618.268261,1516017.667,8705,3,MX,1,100,-63
1618271618.311946,1516060.000,8705,3,MX,1,100,-63
1618271618.350814,1516097.667,8724,3,MX,1,100,-63
1618271618.389683,1516135.333,8724,3,MX,1,100,-63
1618271618.428551,1516173.000,8724,3,MX,1,100,-62
1618271618.470860,1516214.000,8741,2,MX,1,100,-62
1618271618.513168,1516255.000,8741,2,MX,1,100,-62
1618271618.552036,1516292.667,8758,3,MX,1,100,-62
1618271618.590905,1516330.333,8758,3,MX,1,100,-63
1618271618.629773,1516368.000,8758,3,MX,1,100,-63
1618271618.668642,1516405.667,8776,3,MX,1,100,-63
1618271618.707510,1516443.333,8776,3,MX,1,100,-63
1618271618.746379,1516481.000,8776,3,MX,1,100,-63
1618271618.788171,1516521.500,8796,2,MX,1,100,-63
1618271618.829964,1516562.000,8796,2,MX,1,100,-62
1618271618.868832,1516599.667,8814,3,MX,1,100,-62
1618271618.907701,1516637.333,8814,3,MX,1,100,-62
1618271618.946569,1516675.000,8814,3,MX,1,100,-62
1618271618.987846,1516715.000,8832,2,MX,1,100,-62
1618271619.029122,1516755.000,8832,2,MX,1,100,-63
1618271619.073494,1516798.000,8848,3,MX,1,100,-63
1618271619.117866,1516841.000,8848,3,MX,1,100,-64
1618271619.162238,1516884.000,8848,3,MX,1,100,-63
1618271619.200419,1516921.000,8867,3,MX,1,100,-63
1618271619.238599,1516958.000,8867,3,MX,1,100,-63
1618271619.276780,1516995.000,8867,3,MX,1,100,-62
1618271619.318572,1517035.500,8885,2,MX,1,100,-63
1618271619.360364,1517076.000,8885,2,MX,1,100,-63
1618271619.399577,1517114.000,8903,3,MX,1,100,-63
1618271619.438789,1517152.000,8903,3,MX,1,100,-64
1618271619.478002,1517190.000,8903,3,MX,1,100,-63
1618271619.519536,1517230.250,8926,4,MX,1,100,-63
1618271619.561071,1517270.500,8926,4,MX,1,100,-63
1618271619.602605,1517310.750,8926,4,MX,1,100,-62
1618271619.644139,1517351.000,8926,4,MX,1,100,-63
1618271619.686447,1517392.000,8945,2,MX,1,100,-63
1618271619.728756,1517433.000,8945,2,MX,1,100,-63
1618271619.767280,1517470.333,8962,3,MX,1,100,-63
1618271619.805805,1517507.667,8962,3,MX,1,100,-63
1618271619.844329,1517545.000,8962,3,MX,1,100,-63
1618271619.882854,1517582.333,8980,3,MX,1,100,-63
1618271619.921379,1517619.667,8980,3,MX,1,100,-63
1618271619.959903,1517657.000,8980,3,MX,1,100,-63
1618271620.001695,1517697.500,8998,2,MX,1,100,-64
1618271620.043488,1517738.000,8998,2,MX,1,100,-64
1618271620.082012,1517775.333,9017,3,MX,1,100,-63
1618271620.120537,1517812.667,9017,3,MX,1,100,-64
1618271620.159061,1517850.000,9017,3,MX,1,100,-64
1618271620.200854,1517890.500,9034,2,MX,1,100,-64
1618271620.242646,1517931.000,9034,2,MX,1,100,-64
1618271620.281514,1517968.667,9051,3,MX,1,100,-64
1618271620.320383,1518006.333,9051,3,MX,1,100,-63
1618271620.359251,1518044.000,9051,3,MX,1,100,-63
1618271620.400528,1518084.000,9069,2,MX,1,100,-63
1618271620.441804,1518124.000,9069,2,MX,1,100,-63
1618271620.479985,1518161.000,9088,3,MX,1,100,-63
1618271620.518166,1518198.000,9088,3,MX,1,100,-64
1618271620.556346,1518235.000,9088,3,MX,1,100,-64
1618271620.601062,1518278.333,9106,3,MX,1,100,-64
1618271620.645778,1518321.667,9106,3,MX,1,100,-64
1618271620.690494,1518365.000,9106,3,MX,1,100,-63
1618271620.732802,1518406.000,9125,2,MX,1,100,-63
1618271620.775111,1518447.000,9125,2,MX,1,100,-63
1618271620.813979,1518484.667,9141,3,MX,1,100,-63
1618271620.852848,1518522.333,9141,3,MX,1,100,-64
1618271620.891716,1518560.000,9141,3,MX,1,100,-64
1618271620.930585,1518597.667,9160,3,MX,1,100,-64
1618271620.969453,1518635.333,9160,3,MX,1,100,-64
1618271621.008322,1518673.000,9160,3,MX,1,100,-64
1618271621.050114,1518713.500,9178,2,MX,1,100,-64
1618271621.091907,1518754.000,9178,2,MX,1,100,-64
1618271621.130775,1518791.667,9196,3,MX,1,100,-64
1618271621.169644,1518829.333,9196,3,MX,1,100,-64
1618271621.208512,1518867.000,9196,3,MX,1,100,-64
1618271621.249789,1518907.000,9213,2,MX,1,100,-64
1618271621.291065,1518947.000,9213,2,MX,1,100,-64
1618271621.330277,1518985.000,9231,3,MX,1,100,-64
1618271621.369490,1519023.000,9231,3,MX,1,100,-65
1618271621.408702,1519061.000,9231,3,MX,1,100,-64
1618271621.449979,1519101.000,9249,2,MX,1,100,-64
1618271621.491255,1519141.000,9249,2,MX,1,100,-64
1618271621.535971,1519184.333,9268,3,MX,1,100,-64
1618271621.580687,1519227.667,9268,3,MX,1,100,-64
1618271621.625403,1519271.000,9268,3,MX,1,100,-64
1618271621.658940,1519303.500,9285,2,MX,1,100,-63
1618271621.692477,1519336.000,9285,2,MX,1,100,-64
1618271621.736505,1519378.667,9303,3,MX,1,100,-63
1618271621.780533,1519421.333,9303,3,MX,1,100,-64
1618271621.824561,1519464.000,9303,3,MX,1,100,-63
1618271621.863774,1519502.000,9321,3,MX,1,100,-63
1618271621.902986,1519540.000,9321,3,MX,1,100,-63
1618271621.942199,1519578.000,9321,3,MX,1,100,-63
1618271621.983991,1519618.500,9340,2,MX,1,100,-63
1618271622.025784,1519659.000,9340,2,MX,1,100,-63
1618271622.064308,1519696.333,9358,3,MX,1,100,-63
1618271622.102833,1519733.667,9358,3,MX,1,100,-64
1618271622.141357,1519771.000,9358,3,MX,1,100,-63
1618271622.183149,1519811.500,9374,2,MX,1,100,-63
1618271622.224942,1519852.000,9374,2,MX,1,100,-64
1618271622.263466,1519889.333,9392,3,MX,1,100,-64
1618271622.301991,1519926.667,9392,3,MX,1,100,-64
1618271622.340515,1519964.000,9392,3,MX,1,100,-64
1618271622.379040,1520001.333,9411,3,MX,1,100,-64
1618271622.417565,1520038.667,9411,3,MX,1,100,-64
1618271622.456089,1520076.000,9411,3,MX,1,100,-63
1618271622.498397,1520117.000,9429,2,MX,1,100,-63
1618271622.540706,1520158.000,9429,2,MX,1,100,-63
1618271622.582498,1520198.500,9447,2,MX,1,100,-63
1618271622.624290,1520239.000,9447,2,MX,1,100,-64
1618271622.662815,1520276.333,9463,3,MX,1,100,-63
1618271622.701339,1520313.667,9463,3,MX,1,100,-63
1618271622.739864,1520351.000,9463,3,MX,1,100,-63
1618271622.784580,1520394.333,9483,3,MX,1,100,-63
1618271622.829296,1520437.667,9483,3,MX,1,100,-64
1618271622.874012,1520481.000,9483,3,MX,1,100,-64
1618271622.913224,1520519.000,9501,3,MX,1,100,-64
1618271622.952437,1520557.000,9501,3,MX,1,100,-64
1618271622.991650,1520595.000,9501,3,MX,1,100,-64
1618271623.033442,1520635.500,9520,2,MX,1,100,-64
1618271623.075234,1520676.000,9520,2,MX,1,100,-64
1618271623.114103,1520713.667,9537,3,MX,1,100,-64
1618271623.152971,1520751.333,9537,3,MX,1,100,-65
1618271623.191840,1520789.000,9537,3,MX,1,100,-64
1618271623.233632,1520829.500,9554,2,MX,1,100,-64
1618271623.275424,1520870.000,9554,2,MX,1,100,-64
1618271623.313949,1520907.333,9572,3,MX,1,100,-64
1618271623.352473,1520944.667,9572,3,MX,1,100,-64
1618271623.390998,1520982.000,9572,3,MX,1,100,-64
1618271623.432790,1521022.500,9591,2,MX,1,100,-64
1618271623.474583,1521063.000,9591,2,MX,1,100,-63
1618271623.513107,1521100.333,9608,3,MX,1,100,-63
1618271623.551632,1521137.667,9608,3,MX,1,100,-64
1618271623.590156,1521175.000,9608,3,MX,1,100,-64
1618271623.631433,1521215.000,9625,2,MX,1,100,-63
1618271623.672709,1521255.000,9625,2,MX,1,100,-63
1618271623.717081,1521298.000,9644,3,MX,1,100,-63
1618271623.761453,1521341.000,9644,3,MX,1,100,-63
1618271623.805825,1521384.000,9644,3,MX,1,100,-63
1618271623.844694,1521421.667,9663,3,MX,1,100,-63
1618271623.883562,1521459.333,9663,3,MX,1,100,-64
1618271623.922431,1521497.000,9663,3,MX,1,100,-63
1618271623.964223,1521537.500,9681,2,MX,1,100,-63
1618271624.006015,1521578.000,9681,2,MX,1,100,-62
1618271624.044884,1521615.667,9699,3,MX,1,100,-62
1618271624.083752,1521653.333,9699,3,MX,1,100,-62
1618271624.122621,1521691.000,9699,3,MX,1,100,-62
1618271624.161489,1521728.667,9716,3,MX,1,100,-63
1618271624.200358,1521766.333,9716,3,MX,1,100,-63
1618271624.239227,1521804.000,9716,3,MX,1,100,-63
1618271624.277751,1521841.333,9734,3,MX,1,100,-63
