EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1618271617.662875,1515431.000,8582,2,PI,1,100,156744
1618271617.702088,1515469.000,8601,3,PI,1,100,156576
1618271617.741300,1515507.000,8601,3,PI,1,100,155973
1618271617.780513,1515545.000,8601,3,PI,1,100,155515
1618271617.818693,1515582.000,8619,3,PI,1,100,155375
1618271617.856874,1515619.000,8619,3,PI,1,100,155410
1618271617.895055,1515656.000,8619,3,PI,1,100,155544
1618271617.936331,1515696.000,8638,2,PI,1,100,155708
1618271617.977607,1515736.000,8638,2,PI,1,100,155760
1618271618.016820,1515774.000,8655,3,PI,1,100,155724
1618271618.056032,1515812.000,8655,3,PI,1,100,155726
1618271618.095245,1515850.000,8655,3,PI,1,100,155802
1618271618.136521,1515890.000,8672,2,PI,1,100,155917
1618271618.177798,1515930.000,8672,2,PI,1,100,156045
1618271618.221482,1515972.333,8690,3,PI,1,100,156167
1618271618.265166,1516014.667,8690,3,PI,1,100,156282
1618271618.308850,1516057.000,8690,3,PI,1,100,156372
1618271618.347718,1516094.667,8709,3,PI,1,100,156449
1618271618.386587,1516132.333,8709,3,PI,1,100,156578
1618271618.425456,1516170.000,8709,3,PI,1,100,156665
1618271618.467764,1516211.000,8727,2,PI,1,100,156544
1618271618.510072,1516252.000,8727,2,PI,1,100,155967
1618271618.548597,1516289.333,8745,3,PI,1,100,155517
1618271618.587121,1516326.667,8745,3,PI,1,100,155382
1618271618.625646,1516364.000,8745,3,PI,1,100,155405
1618271618.667438,1516404.500,8761,2,PI,1,100,155566
1618271618.709230,1516445.000,8761,2,PI,1,100,155719
1618271618.748443,1516483.000,8781,3,PI,1,100,155746
1618271618.787655,1516521.000,8781,3,PI,1,100,155719
1618271618.826868,1516559.000,8781,3,PI,1,100,155738
1618271618.865392,1516596.333,8799,3,PI,1,100,155802
1618271618.903917,1516633.667,8799,3,PI,1,100,155925
1618271618.942442,1516671.000,8799,3,PI,1,100,156055
1618271618.984234,1516711.500,8818,2,PI,1,100,156176
1618271619.026026,1516752.000,8818,2,PI,1,100,156288
1618271619.064551,1516789.333,8835,3,PI,1,100,156360
1618271619.103075,1516826.667,8835,3,PI,1,100,156444
1618271619.141600,1516864.000,8835,3,PI,1,100,156537
1618271619.182360,1516903.500,8852,2,PI,1,100,156660
1618271619.223121,1516943.000,8852,2,PI,1,100,156636
1618271619.262333,1516981.000,8870,3,PI,1,100,156120
1618271619.301546,1517019.000,8870,3,PI,1,100,155654
1618271619.340758,1517057.000,8870,3,PI,1,100,155491
1618271619.382550,1517097.500,8889,2,PI,1,100,155507
1618271619.424343,1517138.000,8889,2,PI,1,100,155648
1618271619.464175,1517176.600,8911,5,PI,1,100,155823
1618271619.504006,1517215.200,8911,5,PI,1,100,155882
1618271619.543838,1517253.800,8911,5,PI,1,100,155864
1618271619.583669,1517292.400,8911,5,PI,1,100,155873
1618271619.623501,1517331.000,8911,5,PI,1,100,155928
1618271619.666325,1517372.500,8931,2,PI,1,100,156036
1618271619.709149,1517414.000,8931,2,PI,1,100,156155
1618271619.747330,1517451.000,8948,3,PI,1,100,156277
1618271619.785511,1517488.000,8948,3,PI,1,100,156364
1618271619.823691,1517525.000,8948,3,PI,1,100,156452
1618271619.864968,1517565.000,8966,2,PI,1,100,156563
1618271619.906244,1517605.000,8966,2,PI,1,100,156653
