EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,H0
1618271614.132717,1512010.000,7992,1,H0,1,100,88.166
1618271614.264802,1512138.000,8015,1,H0,1,100,89.032
1618271614.396886,1512266.000,8034,1,H0,1,100,89.001
1618271614.528970,1512394.000,8051,1,H0,1,100,89.028
1618271614.663118,1512524.000,8086,1,H0,1,100,89.024
1618271614.797266,1512654.000,8106,1,H0,1,100,89.047
1618271614.930382,1512783.000,8124,1,H0,1,100,89.047
1618271615.063498,1512912.000,8142,1,H0,1,100,89.051
1618271615.196615,1513041.000,8177,1,H0,1,100,89.055
1618271615.331795,1513172.000,8195,1,H0,1,100,89.055
1618271615.463879,1513300.000,8213,1,H0,1,100,89.047
1618271615.598027,1513430.000,8230,1,H0,1,100,89.078
1618271615.730111,1513558.000,8267,1,H0,1,100,89.058
1618271615.863227,1513687.000,8286,1,H0,1,100,89.081
1618271615.996344,1513816.000,8303,1,H0,1,100,89.070
1618271616.128428,1513944.000,8338,1,H0,1,100,89.062
1618271616.261544,1514073.000,8357,1,H0,1,100,89.066
1618271616.394660,1514202.000,8375,1,H0,1,100,89.066
1618271616.527776,1514331.000,8393,1,H0,1,100,89.100
1618271616.659861,1514459.000,8428,1,H0,1,100,89.093
1618271616.792977,1514588.000,8447,1,H0,1,100,89.074
1618271616.927125,1514718.000,8465,1,H0,1,100,89.081
1618271617.059209,1514846.000,8482,1,H0,1,100,89.081
1618271617.193357,1514976.000,8518,1,H0,1,100,89.097
1618271617.326473,1515105.000,8537,1,H0,1,100,89.089
1618271617.461653,1515236.000,8554,1,H0,1,100,89.058
1618271617.594769,1515365.000,8572,1,H0,1,100,89.081
1618271617.726854,1515493.000,8609,1,H0,1,100,89.097
1618271617.861002,1515623.000,8627,1,H0,1,100,89.089
1618271617.992054,1515750.000,8645,1,H0,1,100,89.085
1618271618.125170,1515879.000,8680,1,H0,1,100,89.085
1618271618.257255,1516007.000,8698,1,H0,1,100,89.100
1618271618.389339,1516135.000,8717,1,H0,1,100,89.112
1618271618.523487,1516265.000,8734,1,H0,1,100,89.100
1618271618.656603,1516394.000,8769,1,H0,1,100,89.093
1618271618.790751,1516524.000,8789,1,H0,1,100,89.100
1618271618.922835,1516652.000,8807,1,H0,1,100,89.100
1618271619.055952,1516781.000,8825,1,H0,1,100,89.104
1618271619.189068,1516910.000,8860,1,H0,1,100,89.089
1618271619.321152,1517038.000,8878,1,H0,1,100,89.112
1618271619.455300,1517168.000,8896,1,H0,1,100,89.104
1618271619.587384,1517296.000,8919,1,H0,1,100,89.100
1618271619.722564,1517427.000,8938,1,H0,1,100,89.108
1618271619.853616,1517554.000,8955,1,H0,1,100,89.108
1618271619.986733,1517683.000,8991,1,H0,1,100,89.097
1618271620.120881,1517813.000,9010,1,H0,1,100,89.112
1618271620.252965,1517941.000,9027,1,H0,1,100,89.108
1618271620.386081,1518070.000,9062,1,H0,1,100,89.097
1618271620.518166,1518198.000,9081,1,H0,1,100,89.116
1618271620.651282,1518327.000,9099,1,H0,1,100,89.085
1618271620.785430,1518457.000,9118,1,H0,1,100,89.112
1618271620.918546,1518586.000,9153,1,H0,1,100,89.108
1618271621.052694,1518716.000,9171,1,H0,1,100,89.131
1618271621.184778,1518844.000,9189,1,H0,1,100,89.119
1618271621.318926,1518974.000,9206,1,H0,1,100,89.119
1618271621.453074,1519104.000,9242,1,H0,1,100,89.116
1618271621.586190,1519233.000,9261,1,H0,1,100,89.119
1618271621.719307,1519362.000,9278,1,H0,1,100,89.089
1618271621.851391,1519490.000,9314,1,H0,1,100,89.085
1618271621.986571,1519621.000,9333,1,H0,1,100,89.112
1618271622.117623,1519748.000,9351,1,H0,1,100,89.104
1618271622.251771,1519878.000,9385,1,H0,1,100,89.104
1618271622.384887,1520007.000,9404,1,H0,1,100,89.127
1618271622.518004,1520136.000,9422,1,H0,1,100,89.123
1618271622.651120,1520265.000,9440,1,H0,1,100,89.123
1618271622.784236,1520394.000,9476,1,H0,1,100,89.112
1618271622.918384,1520524.000,9494,1,H0,1,100,89.123
1618271623.052532,1520654.000,9513,1,H0,1,100,89.100
1618271623.185648,1520783.000,9530,1,H0,1,100,89.104
1618271623.318764,1520912.000,9565,1,H0,1,100,89.104
1618271623.450849,1521040.000,9584,1,H0,1,100,89.108
1618271623.584997,1521170.000,9601,1,H0,1,100,89.112
1618271623.717081,1521298.000,9637,1,H0,1,100,89.100
1618271623.850197,1521427.000,9656,1,H0,1,100,89.104
1618271623.983313,1521556.000,9674,1,H0,1,100,89.108
1618271624.116430,1521685.000,9692,1,H0,1,100,89.119
1618271624.249546,1521814.000,9709,1,H0,1,100,89.119
1618271624.381630,1521942.000,9745,1,H0,1,100,89.093
1618271624.515778,1522072.000,9764,1,H0,1,100,89.112
1618271624.647862,1522200.000,9781,1,H0,1,100,89.089
1618271624.782010,1522330.000,9822,1,H0,1,100,89.104
1618271624.915127,1522459.000,9841,1,H0,1,100,89.116
1618271625.047211,1522587.000,9859,1,H0,1,100,89.100
1618271625.181359,1522717.000,9877,1,H0,1,100,89.089
1618271625.314475,1522846.000,9912,1,H0,1,100,89.116
1618271625.447591,1522975.000,9930,1,H0,1,100,89.093
1618271625.579675,1523103.000,9948,1,H0,1,100,89.116
1618271625.712792,1523232.000,9965,1,H0,1,100,89.089
1618271625.845908,1523361.000,10002,1,H0,1,100,89.100
1618271625.977992,1523489.000,10021,1,H0,1,100,89.131
1618271626.111108,1523618.000,10038,1,H0,1,100,89.112
