EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1618271860.398135,1750660.500,50700,2,RD,1,100,TL
1618271863.040337,1753221.000,50700,2,RD,1,100,TU
1618271865.694405,1755793.000,51605,2,RD,1,100,TL
1618271868.348473,1758365.000,51605,2,RD,1,100,TU
1618271870.983966,1760919.000,52337,2,RD,1,100,TL
1618271873.619460,1763473.000,52337,2,RD,1,100,TU
1618271876.254953,1766027.000,53224,2,RD,1,100,TL
1618271878.890447,1768581.000,53224,2,RD,1,100,TU
1618271881.538840,1771147.500,54127,2,RD,1,100,TL
1618271884.187232,1773714.000,54127,2,RD,1,100,TU
1618271886.824274,1776269.500,55032,2,RD,1,100,TL
1618271889.461315,1778825.000,55032,2,RD,1,100,TU
1618271892.118479,1781400.000,55936,2,RD,1,100,TL
1618271894.775643,1783975.000,55936,2,RD,1,100,TU
1618271897.417844,1786535.500,56838,2,RD,1,100,TL
1618271900.060045,1789096.000,56838,2,RD,1,100,TU
1618271902.703794,1791658.000,57742,2,RD,1,100,TL
1618271905.347543,1794220.000,57742,2,RD,1,100,TU
1618271907.997999,1796788.500,58647,2,RD,1,100,TL
1618271910.648455,1799357.000,58647,2,RD,1,100,TU
1618271913.286529,1801913.500,59551,2,RD,1,100,TL
1618271915.924602,1804470.000,59551,2,RD,1,100,TU
1618271918.565771,1807029.500,60454,2,RD,1,100,TL
1618271921.206940,1809589.000,60454,2,RD,1,100,TU
1618271923.856365,1812156.500,61357,2,RD,1,100,TL
1618271926.505789,1814724.000,61357,2,RD,1,100,TU
1618271929.161405,1817297.500,62262,2,RD,1,100,TL
1618271931.817021,1819871.000,62262,2,RD,1,100,TU
1618271934.452515,1822425.000,63166,2,RD,1,100,TL
1618271937.088008,1824979.000,63166,2,RD,1,100,TU
1618271939.744656,1827553.500,64069,2,RD,1,100,TL
1618271942.401304,1830128.000,64069,2,RD,1,100,TU
1618271945.051244,1832696.000,64971,2,RD,1,100,TL
1618271947.701185,1835264.000,64971,2,RD,1,100,TU
1618271950.339774,1837821.000,338,2,RD,1,100,TL
1618271952.978363,1840378.000,338,2,RD,1,100,TU
1618271955.615405,1842933.500,1242,2,RD,1,100,TL
1618271958.252446,1845489.000,1242,2,RD,1,100,TU
1618271960.911674,1848066.000,2163,2,RD,1,100,TL
1618271963.570901,1850643.000,2163,2,RD,1,100,TU
1618271966.231161,1853221.000,3082,2,RD,1,100,TL
1618271968.891420,1855799.000,3082,2,RD,1,100,TU
1618271971.526914,1858353.000,3990,2,RD,1,100,TL
1618271974.162408,1860907.000,3990,2,RD,1,100,TU
1618271976.797901,1863461.000,4892,2,RD,1,100,TL
1618271979.433395,1866015.000,4892,2,RD,1,100,TU
1618271982.086431,1868586.000,5813,2,RD,1,100,TL
1618271984.739467,1871157.000,5813,2,RD,1,100,TU
