EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1618271618.414104,1516159.000,8708,4,EM,1,100,PS
1618271618.465958,1516209.250,8744,4,EM,1,100,RS
1618271618.517811,1516259.500,8744,4,EM,1,100,RB
1618271618.569665,1516309.750,8744,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271618.621518,1516360.000,8744,4,EM,1,100,PS
1618271618.673372,1516410.250,8780,4,EM,1,100,RS
1618271618.725225,1516460.500,8780,4,EM,1,100,RB
1618271618.777078,1516510.750,8780,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271618.828932,1516561.000,8780,4,EM,1,100,PS
1618271618.880785,1516611.250,8817,4,EM,1,100,RS
1618271618.932638,1516661.500,8817,4,EM,1,100,RB
1618271618.984492,1516711.750,8817,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271619.036345,1516762.000,8817,4,EM,1,100,PS
1618271619.088199,1516812.250,8851,4,EM,1,100,RS
1618271619.140052,1516862.500,8851,4,EM,1,100,RB
1618271619.191905,1516912.750,8851,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271619.243759,1516963.000,8851,4,EM,1,100,PS
1618271619.295612,1517013.250,8888,4,EM,1,100,RS
1618271619.347466,1517063.500,8888,4,EM,1,100,RB
1618271619.399319,1517113.750,8888,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271619.451172,1517164.000,8888,4,EM,1,100,PS
1618271619.521858,1517232.500,8930,4,EM,1,100,RS
1618271619.592544,1517301.000,8930,4,EM,1,100,RB
1618271619.663229,1517369.500,8930,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271619.733915,1517438.000,8930,4,EM,1,100,PS
1618271619.785769,1517488.250,8965,4,EM,1,100,RS
1618271619.837622,1517538.500,8965,4,EM,1,100,RB
1618271619.889475,1517588.750,8965,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271619.941329,1517639.000,8965,4,EM,1,100,PS
1618271619.993182,1517689.250,9001,4,EM,1,100,RS
1618271620.045036,1517739.500,9001,4,EM,1,100,RB
1618271620.096889,1517789.750,9001,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271620.148742,1517840.000,9001,4,EM,1,100,PS
1618271620.200596,1517890.250,9037,4,EM,1,100,RS
1618271620.252449,1517940.500,9037,4,EM,1,100,RB
1618271620.304302,1517990.750,9037,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271620.356156,1518041.000,9037,4,EM,1,100,PS
1618271620.408009,1518091.250,9072,4,EM,1,100,RS
1618271620.459863,1518141.500,9072,4,EM,1,100,RB
1618271620.511716,1518191.750,9072,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271620.563570,1518242.000,9072,4,EM,1,100,PS
1618271620.615423,1518292.250,9110,4,EM,1,100,RS
1618271620.667276,1518342.500,9110,4,EM,1,100,RB
1618271620.719130,1518392.750,9110,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271620.770983,1518443.000,9110,4,EM,1,100,PS
1618271620.824126,1518494.500,9144,4,EM,1,100,RS
1618271620.877270,1518546.000,9144,4,EM,1,100,RB
1618271620.930413,1518597.500,9144,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271620.983556,1518649.000,9144,4,EM,1,100,PS
1618271621.035151,1518699.000,9181,4,EM,1,100,RS
1618271621.086747,1518749.000,9181,4,EM,1,100,RB
1618271621.138342,1518799.000,9181,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271621.189938,1518849.000,9181,4,EM,1,100,PS
1618271621.241791,1518899.250,9216,4,EM,1,100,RS
1618271621.293644,1518949.500,9216,4,EM,1,100,RB
1618271621.345498,1518999.750,9216,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271621.397351,1519050.000,9216,4,EM,1,100,PS
1618271621.449205,1519100.250,9252,4,EM,1,100,RS
1618271621.501058,1519150.500,9252,4,EM,1,100,RB
1618271621.552912,1519200.750,9252,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271621.604765,1519251.000,9252,4,EM,1,100,PS
1618271621.656618,1519301.250,9289,4,EM,1,100,RS
1618271621.708472,1519351.500,9289,4,EM,1,100,RB
1618271621.760325,1519401.750,9289,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271621.812178,1519452.000,9289,4,EM,1,100,PS
1618271621.864290,1519502.500,9324,4,EM,1,100,RS
1618271621.916401,1519553.000,9324,4,EM,1,100,RB
1618271621.968513,1519603.500,9324,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271622.020624,1519654.000,9324,4,EM,1,100,PS
1618271622.072219,1519704.000,9361,4,EM,1,100,RS
1618271622.123815,1519754.000,9361,4,EM,1,100,RB
1618271622.175410,1519804.000,9361,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271622.227005,1519854.000,9361,4,EM,1,100,PS
1618271622.278859,1519904.250,9395,4,EM,1,100,RS
1618271622.330712,1519954.500,9395,4,EM,1,100,RB
1618271622.382566,1520004.750,9395,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271622.434419,1520055.000,9395,4,EM,1,100,PS
1618271622.486273,1520105.250,9432,4,EM,1,100,RS
1618271622.538126,1520155.500,9432,4,EM,1,100,RB
1618271622.589979,1520205.750,9432,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271622.641833,1520256.000,9432,4,EM,1,100,PS
1618271622.693686,1520306.250,9467,4,EM,1,100,RS
1618271622.745539,1520356.500,9467,4,EM,1,100,RB
1618271622.797393,1520406.750,9467,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271622.849246,1520457.000,9467,4,EM,1,100,PS
1618271622.901100,1520507.250,9504,4,EM,1,100,RS
1618271622.952953,1520557.500,9504,4,EM,1,100,RB
1618271623.004806,1520607.750,9504,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271623.056660,1520658.000,9504,4,EM,1,100,PS
1618271623.108513,1520708.250,9540,4,EM,1,100,RS
1618271623.160367,1520758.500,9540,4,EM,1,100,RB
1618271623.212220,1520808.750,9540,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271623.264073,1520859.000,9540,4,EM,1,100,PS
1618271623.315927,1520909.250,9575,4,EM,1,100,RS
1618271623.367780,1520959.500,9575,4,EM,1,100,RB
1618271623.419633,1521009.750,9575,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271623.471487,1521060.000,9575,4,EM,1,100,PS
1618271623.523340,1521110.250,9611,4,EM,1,100,RS
1618271623.575194,1521160.500,9611,4,EM,1,100,RB
1618271623.627047,1521210.750,9611,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271623.678900,1521261.000,9611,4,EM,1,100,PS
1618271623.730754,1521311.250,9647,4,EM,1,100,RS
1618271623.782607,1521361.500,9647,4,EM,1,100,RB
1618271623.834460,1521411.750,9647,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271623.886314,1521462.000,9647,4,EM,1,100,PS
1618271623.938167,1521512.250,9684,4,EM,1,100,RS
1618271623.990021,1521562.500,9684,4,EM,1,100,RB
1618271624.041874,1521612.750,9684,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271624.093728,1521663.000,9684,4,EM,1,100,PS
1618271624.145581,1521713.250,9719,4,EM,1,100,RS
1618271624.197434,1521763.500,9719,4,EM,1,100,RB
1618271624.249288,1521813.750,9719,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271624.301141,1521864.000,9719,4,EM,1,100,PS
1618271624.352994,1521914.250,9755,4,EM,1,100,RS
1618271624.404848,1521964.500,9755,4,EM,1,100,RB
1618271624.456701,1522014.750,9755,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271624.508555,1522065.000,9755,4,EM,1,100,PS
1618271624.560408,1522115.250,9791,4,EM,1,100,RS
1618271624.612262,1522165.500,9791,4,EM,1,100,RB
1618271624.664115,1522215.750,9791,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271624.715968,1522266.000,9791,4,EM,1,100,PS
1618271624.767822,1522316.250,9832,4,EM,1,100,RS
1618271624.819675,1522366.500,9832,4,EM,1,100,RB
1618271624.871528,1522416.750,9832,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271624.923382,1522467.000,9832,4,EM,1,100,PS
1618271624.975235,1522517.250,9869,4,EM,1,100,RS
1618271625.027089,1522567.500,9869,4,EM,1,100,RB
1618271625.078942,1522617.750,9869,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271625.130795,1522668.000,9869,4,EM,1,100,PS
1618271625.182649,1522718.250,9903,4,EM,1,100,RS
1618271625.234502,1522768.500,9903,4,EM,1,100,RB
1618271625.286355,1522818.750,9903,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271625.338209,1522869.000,9903,4,EM,1,100,PS
1618271625.390062,1522919.250,9940,4,EM,1,100,RS
1618271625.441916,1522969.500,9940,4,EM,1,100,RB
1618271625.493769,1523019.750,9940,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271625.545622,1523070.000,9940,4,EM,1,100,PS
1618271625.598250,1523121.000,9976,4,EM,1,100,RS
1618271625.650877,1523172.000,9976,4,EM,1,100,RB
1618271625.703504,1523223.000,9976,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271625.756132,1523274.000,9976,4,EM,1,100,PS
1618271625.807985,1523324.250,10012,4,EM,1,100,RS
1618271625.859838,1523374.500,10012,4,EM,1,100,RB
1618271625.911692,1523424.750,10012,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271625.963545,1523475.000,10012,4,EM,1,100,PS
1618271626.017978,1523527.750,10048,4,EM,1,100,RS
1618271626.072412,1523580.500,10048,4,EM,1,100,RB
1618271626.126845,1523633.250,10048,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271626.181278,1523686.000,10048,4,EM,1,100,PS
1618271626.233131,1523736.250,10083,4,EM,1,100,RS
1618271626.284985,1523786.500,10083,4,EM,1,100,RB
1618271626.336838,1523836.750,10083,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271626.388691,1523887.000,10083,4,EM,1,100,PS
1618271626.440545,1523937.250,10120,4,EM,1,100,RS
1618271626.492398,1523987.500,10120,4,EM,1,100,RB
1618271626.544252,1524037.750,10120,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271626.596105,1524088.000,10120,4,EM,1,100,PS
1618271626.647959,1524138.250,10155,4,EM,1,100,RS
1618271626.699812,1524188.500,10155,4,EM,1,100,RB
1618271626.751665,1524238.750,10155,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271626.803519,1524289.000,10155,4,EM,1,100,PS
1618271626.855372,1524339.250,10192,4,EM,1,100,RS
1618271626.907225,1524389.500,10192,4,EM,1,100,RB
1618271626.959079,1524439.750,10192,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271627.010932,1524490.000,10192,4,EM,1,100,PS
1618271627.062786,1524540.250,10226,4,EM,1,100,RS
1618271627.114639,1524590.500,10226,4,EM,1,100,RB
1618271627.166492,1524640.750,10226,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271627.218346,1524691.000,10226,4,EM,1,100,PS
1618271627.270199,1524741.250,10263,4,EM,1,100,RS
1618271627.322052,1524791.500,10263,4,EM,1,100,RB
